symbol,last_trade_datetime_utc
ESM4,2024-06-22 00:00:00
ESU4,2024-09-21 00:00:00
ESZ4,2024-12-21 00:00:00
ESH5,2025-03-22 00:00:00
ESM5,2025-06-21 00:00:00
ESU5,2025-09-20 00:00:00
ESZ5,2025-12-20 00:00:00
ESH6,2026-03-21 00:00:00
ESM6,2026-06-18 13:30:00
ESU6,2026-09-18 13:30:00
ESZ6,2026-12-18 14:30:00
ESH7,2027-03-19 13:30:00
ESM7,2027-06-17 13:30:00
ESU7,2027-09-17 13:30:00
ESZ7,2027-12-17 14:30:00
ESH8,2028-03-17 13:30:00
ESM8,2028-06-16 13:30:00
ESU8,2028-09-15 13:30:00
ESZ8,2028-12-15 14:30:00
ESH9,2029-03-16 13:30:00
ESM9,2029-06-15 13:30:00
ESU9,2029-09-21 13:30:00
ESZ9,2029-12-21 14:30:00
ESH0,2030-03-15 13:30:00
ESM0,2030-06-21 13:30:00
ESU0,2030-09-20 13:30:00
ESZ0,2030-12-20 14:30:00
ESH1,2031-03-21 13:30:00
ESM1,2031-06-20 13:30:00
