symbol,last_trade_datetime_utc
NQM4,2024-06-22 00:00:00
NQU4,2024-09-21 00:00:00
NQZ4,2024-12-21 00:00:00
NQH5,2025-03-22 00:00:00
NQM5,2025-06-21 00:00:00
NQU5,2025-09-20 00:00:00
NQZ5,2025-12-20 00:00:00
NQH6,2026-03-21 00:00:00
NQM6,2026-06-18 13:30:00
NQU6,2026-09-18 13:30:00
NQZ6,2026-12-18 14:30:00
NQH7,2027-03-19 13:30:00
NQM7,2027-06-17 13:30:00
NQU7,2027-09-17 13:30:00
NQZ7,2027-12-17 14:30:00
NQM8,2028-06-16 13:30:00
NQZ8,2028-12-15 14:30:00
NQM9,2029-06-15 13:30:00
NQZ9,2029-12-21 14:30:00
NQZ0,2030-12-20 14:30:00
